plant name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,,Synthetic Accessibility
Alstonia scholaris,(-)-Akuammicine:Akuammicine,COC(=O)C1=C2Nc3c([C@@]42[C@@H]2C[C@@H]1/C(=C\C)/CN2CC4)cccc3,C20H22N2O2,322.4,24,6,0.45,2,3,1,99.91,41.57,0,2.38,1.88,2.82,2.79,1.97,-3.39,1.31E-01,4.06E-04,Soluble,-2.89,4.12E-01,1.28E-03,Soluble,-4.52,9.83E-03,3.05E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,0,5.35,
Alstonia scholaris,Akuammidine,C/C=C\1/CN2[C@H]3C[C@@H]1[C@]([C@@H]2Cc1c3[nH]c2c1cccc2)(CO)C(=O)OC,C21H24N2O3,352.43,26,9,0.48,3,4,2,103.29,65.56,2.69,1.51,1.86,2.13,3.09,2.26,-3.03,3.26E-01,9.24E-04,Soluble,-2.49,1.13E+00,3.20E-03,Soluble,-4.41,1.37E-02,3.89E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-7.38,0,0,0,0,0,0.55,1,1,1,4.78,
Alstonia scholaris,Echitamine,COC(=O)[C@@]1(CO)[C@H]2C[C@@H]([C@]34[C@@]1(CC[N@+]4(C/C/2=C/C)C)c1ccccc1N3)O,C22H29N2O4,385.48,28,6,0.59,3,4,3,113.15,78.79,-0.73,0.74,0.44,-1.58,1.86,0.14,-2.66,8.50E-01,2.20E-03,Soluble,-1.97,4.10E+00,1.06E-02,Very soluble,-4.84,5.56E-03,1.44E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.13,0,0,0,0,0,0.55,0,2,1,5.94,
Alstonia scholaris,Salutaridine,COC1=C[C@@]23CCN([C@@H](C2=CC1=O)Cc1c3c(O)c(cc1)OC)C,C19H21NO4,327.37,24,6,0.42,2,5,1,93.65,59,2.78,1.95,1.56,1.22,2.35,1.97,-3.15,2.31E-01,7.06E-04,Soluble,-2.81,5.03E-01,1.54E-03,Soluble,-3.69,6.62E-02,2.02E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,0,0,4.53,
Alstonia scholaris,Cantleyine,COC(=O)c1cncc2c1C[C@@H]([C@@H]2C)O,C11H13NO3,207.23,15,6,0.45,2,4,1,54.11,59.42,2,0.71,0.89,0.72,1.55,1.17,-1.74,3.80E+00,1.84E-02,Very soluble,-1.54,6.03E+00,2.91E-02,Very soluble,-2.29,1.07E+00,5.14E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.06,0,0,0,0,0,0.55,0,0,1,3.06,
Alstonia scholaris,Stigmasterol,CC[C@@H](C(C)C)/C=C/[C@@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H48O,412.69,30,0,0.86,5,1,1,132.75,20.23,5.1,8.56,7.8,6.62,6.86,6.99,-7.46,1.43E-05,3.46E-08,Poorly soluble,-8.86,5.71E-07,1.38E-09,Poorly soluble,-5.47,1.40E-03,3.39E-06,Moderately soluble,Low,No,No,No,No,Yes,No,No,-2.74,1,3,0,1,2,0.55,0,1,2,6.21,
Alstonia scholaris,Lupeol acetate,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@H]2[C@@]1(C)CC[C@@]1([C@@H]2[C@@H](CC1)C(=C)C)C)C)C,C32H52O2,468.75,34,0,0.91,3,2,0,144.88,26.3,5.17,10.45,8.6,7.08,7.33,7.72,-9.13,3.46E-07,7.38E-10,Poorly soluble,-10.95,5.29E-09,1.13E-11,Insoluble,-7.35,2.08E-05,4.44E-08,Poorly soluble,Low,No,No,No,No,No,No,No,-1.74,1,3,0,1,1,0.55,0,1,2,5.66,
Alstonia scholaris,Isookaninrhamnoside,O[C@H]1[C@@H](O[C@@H]([C@@H]([C@@H]1O)O)C)Oc1ccc2c(c1O)O[C@H](CC2=O)c1ccc(c(c1)O)O,C21H22O10,434.39,31,12,0.38,3,10,6,104.55,166.14,1.63,0.18,0.39,-1.15,0.02,0.21,-2.74,7.99E-01,1.84E-03,Soluble,-3.23,2.58E-01,5.93E-04,Soluble,-1.69,8.91E+00,2.05E-02,Soluble,Low,No,No,No,No,No,No,No,-8.82,1,0,1,1,2,0.55,1,1,1,5.03,
Alstonia scholaris,Leuconolam,CC[C@]12CCCN3[C@]2(O)C(=CC3=O)c2ccccc2NC(=O)CC1,C19H22N2O3,326.39,24,6,0.47,1,3,2,98.65,69.64,1.95,1.01,1.57,1.76,2.26,1.71,-2.62,7.85E-01,2.40E-03,Soluble,-2.06,2.83E+00,8.68E-03,Soluble,-4.53,9.59E-03,2.94E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-7.57,0,0,0,0,0,0.55,0,0,0,4.36,
Alstonia scholaris,Leuconoxine,CC[C@]12CCCN3[C@]42[C@H](CC3=O)c2c(N4C(=O)CC1)cccc2,C19H22N2O2,310.39,23,6,0.58,1,2,0,95.15,40.62,2.51,1.86,2.27,2.67,2.61,2.38,-3.06,2.68E-01,8.64E-04,Soluble,-2.33,1.44E+00,4.63E-03,Soluble,-4.41,1.20E-02,3.88E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.87,0,0,0,0,0,0.55,0,0,0,4.07,
Alstonia scholaris,Akuammiline,COC(=O)[C@]1(COC(=O)C)[C@H]2C[C@H]3C4=Nc5c([C@@]14CCN3C/C/2=C/C)cccc5,C23H26N2O4,394.46,29,6,0.52,5,6,0,116.12,68.2,3.36,1.47,2.03,2.56,3.84,2.65,-3.03,3.64E-01,9.23E-04,Soluble,-2.51,1.22E+00,3.10E-03,Soluble,-4.95,4.46E-03,1.13E-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-7.66,0,0,0,0,0,0.55,0,2,1,5.97,
Alstonia scholaris,"Hydroxy-19,20-dihydroakuammicine",COC(=O)C1=C2Nc3c([C@@]42[C@@H]2C[C@H]1[C@@H](CN2CC4)[C@@H](O)C)cccc3,C20H24N2O3,340.42,25,6,0.55,3,4,2,101.54,61.8,2.93,1.92,0.93,2.07,1.9,1.95,-3.14,2.47E-01,7.25E-04,Soluble,-2.84,4.90E-01,1.44E-03,Soluble,-3.72,6.50E-02,1.91E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-7.01,0,0,0,0,0,0.55,0,0,0,5.61,
Alstonia scholaris,N(4)-Demethylechitamine,COC(=O)[C@]1(CO)[C@H]2C[C@@H]([C@]34[C@@]1(CCN4C/C/2=C\C)c1ccccc1N3)O,C21H26N2O4,370.44,27,6,0.57,3,5,3,107.29,82.03,2.69,0.73,0.29,1.89,1.79,1.48,-2.56,1.01E+00,2.73E-03,Soluble,-2.03,3.45E+00,9.30E-03,Soluble,-3.75,6.63E-02,1.79E-04,Soluble,High,No,Yes,No,No,No,Yes,No,-8.04,0,0,0,0,0,0.55,0,1,1,5.78,
Alstonia scholaris,Picrinine,COC(=O)[C@H]1[C@H]2C[C@H]3[C@@]45[C@@]1(C[C@H](O4)N3C/C/2=C/C)c1ccccc1N5,C20H22N2O3,338.4,25,6,0.55,2,4,1,99.39,50.8,2.97,2.06,1.29,2.88,2,2.24,-3.28,1.77E-01,5.23E-04,Soluble,-2.76,5.94E-01,1.76E-03,Soluble,-3.8,5.39E-02,1.59E-04,Soluble,High,Yes,No,No,Yes,No,Yes,No,-6.9,0,0,0,0,0,0.55,0,1,0,6.04,
Alstonia scholaris,Pseudoakuammigine,COC(=O)[C@]12CO[C@@]34[C@@]2(CCN2[C@H]3C[C@H]1/C(=C/C)/C2)c1ccccc1N4C,C22H26N2O3,366.45,27,6,0.59,2,4,0,108.84,42.01,3.27,1.86,1.55,2.92,2.57,2.44,-3.32,1.77E-01,4.83E-04,Soluble,-2.36,1.59E+00,4.33E-03,Soluble,-4.18,2.43E-02,6.62E-05,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-7.21,0,0,0,0,0,0.55,0,1,1,5.56,
Alstonia scholaris,Tetrahydroalstonine,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C[C@@H]1N(C2)CCc2c1[nH]c1c2cccc1)C,C21H24N2O3,352.43,26,9,0.48,2,4,1,103.47,54.56,3.08,2.75,2.47,2.13,2.78,2.64,-3.88,4.63E-02,1.31E-04,Soluble,-3.55,9.92E-02,2.81E-04,Soluble,-4.38,1.47E-02,4.16E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.5,0,0,0,0,0,0.85,1,0,1,4.57,
Alstonia scholaris,Tubotaiwine,COC(=O)C1=C2Nc3c([C@]42[C@H]2[C@@H]([C@@H]1CCN2CC4)CC)cccc3,C20H24N2O2,324.42,24,6,0.55,3,3,1,100.38,41.57,3.28,3.06,1.96,2.9,2.69,2.78,-3.77,5.56E-02,1.71E-04,Soluble,-3.6,8.16E-02,2.51E-04,Soluble,-4.66,7.11E-03,2.19E-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.11,0,0,0,0,0,0.55,0,0,0,5.43,
Alstonia scholaris,(+)-Dicentrine,COc1cc2c(cc1OC)C[C@H]1c3c2c2OCOc2cc3CCN1C,C20H21NO4,339.39,25,12,0.4,2,5,0,98.02,40.16,3.53,3.24,2.48,2.38,3.79,3.08,-4.21,2.10E-02,6.19E-05,Moderately soluble,-3.76,5.94E-02,1.75E-04,Soluble,-5.49,1.11E-03,3.27E-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.07,0,0,0,0,0,0.55,0,0,0,3.78,
Alstonia scholaris,Stemmadenine,C/C=C\1/CN2CCc3c([C@@]([C@H]1CC2)(CO)C(=O)OC)[nH]c1c3cccc1,C21H26N2O3,354.44,26,9,0.48,3,4,2,105.55,65.56,2.7,1.8,2.01,2.13,3.5,2.43,-3.23,2.09E-01,5.89E-04,Soluble,-2.8,5.67E-01,1.60E-03,Soluble,-4.88,4.70E-03,1.33E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-7.18,0,0,0,0,0,0.55,0,1,1,5.36,
Alstonia scholaris,Vallesamine,C/C=C\1/CN2CC[C@@H]1[C@](CO)(C(=O)OC)c1c(C2)c2c([nH]1)cccc2,C20H24N2O3,340.42,25,9,0.45,3,4,2,100.74,65.56,1.54,1.34,1.82,1.91,3.25,1.97,-2.86,4.66E-01,1.37E-03,Soluble,-2.32,1.64E+00,4.80E-03,Soluble,-4.61,8.41E-03,2.47E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-7.43,0,0,0,0,0,0.55,0,1,0,4.77,
Alstonia scholaris,Vallesiachotamine,COC(=O)C1=CN2CCc3c([C@@H]2C[C@H]1/C(=C/C)/C=O)[nH]c1c3cccc1,C21H22N2O3,350.41,26,9,0.33,4,3,1,104.23,62.4,2.76,2.69,2.58,1.98,3.39,2.68,-3.7,7.00E-02,2.00E-04,Soluble,-3.65,7.79E-02,2.22E-04,Soluble,-4.31,1.71E-02,4.89E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.53,0,0,0,0,0,0.55,1,2,1,4.13,
Alstonia scholaris,(-)-Discretamine,COc1cc2c(cc1O)CCN1[C@H]2Cc2ccc(c(c2C1)OC)O,C19H21NO4,327.37,24,12,0.37,2,5,2,95.05,62.16,2.92,2.59,1.91,1.75,2.68,2.37,-3.74,5.97E-02,1.82E-04,Soluble,-3.54,9.35E-02,2.86E-04,Soluble,-4.48,1.08E-02,3.30E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.46,0,0,0,0,0,0.55,0,0,0,3.37,
Alstonia scholaris,Corypalmine,COc1c(OC)ccc2c1CN1CCc3c([C@H]1C2)cc(c(c3)O)OC,C20H23NO4,341.4,25,12,0.4,3,5,1,99.52,51.16,3.34,2.91,2.22,1.98,3.21,2.73,-3.95,3.86E-02,1.13E-04,Soluble,-3.65,7.73E-02,2.26E-04,Soluble,-5.18,2.28E-03,6.67E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.32,0,0,0,0,0,0.55,0,0,0,3.48,
Alstonia scholaris,O-Deacetylakuammiline,COC(=O)[C@@]1(CO)[C@H]2C[C@H]3C4=Nc5c([C@@]14CCN3C/C/2=C/C)cccc5,C21H24N2O3,352.43,26,6,0.52,3,5,1,106.38,62.13,3.23,0.89,1.45,2.21,3.36,2.23,-2.56,9.74E-01,2.76E-03,Soluble,-1.78,5.86E+00,1.66E-02,Very soluble,-4.33,1.66E-02,4.70E-05,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-7.82,0,0,0,0,0,0.55,0,1,1,5.77,
 annonamuricata,Khellin,COc1c2OCCc2c(c2c1oc(C)cc2=O)OC,C14H14O5,262.26,19,10,0.36,2,5,0,69.78,57.9,2.67,1.87,2.05,0.49,3.46,2.11,-2.9,3.29E-01,1.25E-03,Soluble,-2.71,5.14E-01,1.96E-03,Soluble,-4.55,7.43E-03,2.83E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.57,0,0,0,0,0,0.55,0,0,0,3.15,
 annonamuricata,Gallic acid,OC(=O)c1cc(O)c(c(c1)O)O,C7H6O5,170.12,12,6,0,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,-0.2,0.21,-1.64,3.90E+00,2.29E-02,Very soluble,-2.34,7.86E-01,4.62E-03,Soluble,-0.04,1.55E+02,9.10E-01,Soluble,High,No,No,No,No,No,No,Yes,-6.84,0,2,0,0,1,0.56,1,1,1,1.22,
 annonamuricata,3-O-Caffeoylquinic acid,O=C(O[C@@H]1C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C16H18O9,354.31,25,6,0.38,5,9,6,83.5,164.75,0.87,-0.42,-0.75,-1.05,-0.61,-0.39,-1.62,8.50E+00,2.40E-02,Very soluble,-2.58,9.42E-01,2.66E-03,Soluble,0.4,8.94E+02,2.52E+00,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16,
 annonamuricata,Kaempferol,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O6,286.24,21,16,0,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,2.03,1.58,-3.31,1.40E-01,4.90E-04,Soluble,-3.86,3.98E-02,1.39E-04,Soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.7,0,0,0,0,0,0.55,0,0,0,3.14,
 annonamuricata,Quercetin,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,2.11E-01,6.98E-04,Soluble,-3.91,3.74E-02,1.24E-04,Soluble,-3.24,1.73E-01,5.73E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23,
 annonamuricata,kaempferol 3-O-robinobioside,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@@H]([C@@H]1O)O)O)O,C27H30O15,594.52,42,16,0.44,6,15,9,139.36,249.2,1.63,0.02,-1.39,-3.43,-1.64,-0.96,-3.42,2.24E-01,3.76E-04,Soluble,-4.81,9.31E-03,1.57E-05,Moderately soluble,-0.88,7.77E+01,1.31E-01,Soluble,Low,No,Yes,No,No,No,No,No,-9.91,3,4,1,1,3,0.17,0,0,1,6.48,
 annonamuricata,Nicotiflorin,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)O,C27H30O15,594.52,42,16,0.44,6,15,9,139.36,249.2,1.39,0.02,-1.39,-3.43,-1.64,-1.01,-3.42,2.24E-01,3.76E-04,Soluble,-4.81,9.31E-03,1.57E-05,Moderately soluble,-0.88,7.77E+01,1.31E-01,Soluble,Low,No,Yes,No,No,No,No,No,-9.91,3,4,1,1,3,0.17,0,0,1,6.48,
 annonamuricata,Quercetin-3-O-glucoside,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@@H]([C@@H]1O)O)O,C21H20O12,464.38,33,16,0.29,4,12,8,110.16,210.51,1.64,0.36,-0.54,-2.59,-0.59,-0.34,-3.04,4.23E-01,9.10E-04,Soluble,-4.35,2.10E-02,4.51E-05,Moderately soluble,-1.51,1.43E+01,3.08E-02,Soluble,Low,No,No,No,No,No,No,No,-8.88,2,1,1,1,3,0.17,1,1,1,5.32,
 annonamuricata,Dihydrokaempferol,Oc1ccc(cc1)[C@@H]1Oc2cc(O)cc(c2C(=O)[C@@H]1O)O,C15H12O6,288.25,21,12,0.13,1,6,4,72.73,107.22,1.51,1.31,1.16,-0.1,1.15,1.01,-2.81,4.47E-01,1.55E-03,Soluble,-3.16,1.98E-01,6.88E-04,Soluble,-2.61,7.12E-01,2.47E-03,Soluble,High,No,No,No,No,No,No,No,-7.13,0,0,0,0,0,0.55,0,0,0,3.42,
 annonamuricata,Loliolide,O[C@@H]1C[C@@]2(C)OC(=O)C=C2C(C1)(C)C,C11H16O3,196.24,14,0,0.73,0,3,1,52.51,46.53,2.01,1,1.41,1.49,1.86,1.55,-1.69,4.04E+00,2.06E-02,Very soluble,-1.57,5.33E+00,2.72E-02,Very soluble,-1.82,3.00E+00,1.53E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.79,0,0,0,0,1,0.55,0,0,1,3.63,
 annonamuricata,(+)-epiloliolide,O[C@@H]1C[C@]2(C)OC(=O)C=C2C(C1)(C)C,C11H16O3,196.24,14,0,0.73,0,3,1,52.51,46.53,1.88,1,1.41,1.49,1.86,1.53,-1.69,4.04E+00,2.06E-02,Very soluble,-1.57,5.33E+00,2.72E-02,Very soluble,-1.82,3.00E+00,1.53E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.79,0,0,0,0,1,0.55,0,0,1,3.63,
 annonamuricata,(-)-Asimilobine,COc1c(O)cc2c3c1c1ccccc1C[C@H]3NCC2,C17H17NO2,267.32,20,12,0.29,1,3,2,82.59,41.49,2.58,2.64,2.11,2.43,3.48,2.65,-3.54,7.73E-02,2.89E-04,Soluble,-3.16,1.84E-01,6.89E-04,Soluble,-5.39,1.09E-03,4.06E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.06,0,0,0,0,0,0.55,0,0,0,3.24,
 annonamuricata,(-)-Coreximine,COc1cc2CN3CCc4c([C@@H]3Cc2cc1O)cc(c(c4)OC)O,C19H21NO4,327.37,24,12,0.37,2,5,2,95.05,62.16,3.06,2.59,1.91,1.75,2.68,2.4,-3.74,5.97E-02,1.82E-04,Soluble,-3.54,9.35E-02,2.86E-04,Soluble,-4.48,1.08E-02,3.30E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.46,0,0,0,0,0,0.55,0,0,0,3.32,
 annonamuricata,Stepharine,COc1c(OC)cc2c3c1[C@@]1(C=CC(=O)C=C1)C[C@H]3NCC2,C18H19NO3,297.35,22,6,0.39,2,4,1,87.48,47.56,2.67,2.07,1.52,1.81,2.94,2.2,-3.06,2.60E-01,8.76E-04,Soluble,-2.7,5.96E-01,2.00E-03,Soluble,-4.17,1.99E-02,6.68E-05,Moderately soluble,High,Yes,Yes,Yes,No,Yes,No,Yes,-6.64,0,0,0,0,0,0.55,0,0,0,4.16,
 annonamuricata,(-)-Isolaureline,COc1ccc2c(c1)C[C@@H]1c3c2c2OCOc2cc3CCN1C,C19H19NO3,309.36,23,12,0.37,1,4,0,91.53,30.93,3.37,3.27,2.47,2.72,3.76,3.12,-4.14,2.25E-02,7.27E-05,Moderately soluble,-3.59,7.88E-02,2.55E-04,Soluble,-5.38,1.30E-03,4.22E-06,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.87,0,0,0,0,0,0.55,0,0,0,3.61,
